;;;;;;;;;;;;;;;;;;;;;
10-juin-24;"SCRIPTING LINUX
CCP1A-1C-3A-3B
ABDOULAYE";11-juin-24;"SCRIPTING LINUX
CCP1A-1C-3A-3B
ABDOULAYE";12-juin-24;"SCRIPTING LINUX
CCP1A-1C-3A-3B
ABDOULAYE";13-juin-24;"TP
SCRIPTING LINUX
CCP1A-1C-3A-3B";14-juin-24;"SCRIPTING LINUX
CCP1A-1C-3A-3B
ABDOULAYE";35;;;CCP2C;Gérer des containers;;;;;;;
17-juin-24;"AZURE
CCP1C-1D-3A-3B
ABDOULAYE";18-juin-24;"AZURE
CCP1C-1D-3A-3B
ABDOULAYE";19-juin-24;"AZURE
CCP1C-1D-3A-3B
ABDOULAYE";20-juin-24;"TP
AZURE
";21-juin-24;"QUESTIONNAIRE SATISFACTION A CHAUD + AZURE
CCP1C-1D-3A-3B
ABDOULAYE";35;;;CCP2D;"Automatiser la mise en production d’une application avec
une plateforme";;;;;;;
24-juin-24;"Conduite de Projet
Pascal";25-juin-24;"Conduite de Projet
Auto";26-juin-24;"Conduite de Projet
";27-juin-24;"Conduite de Projet
";28-juin-24;"Conduite de Projet
Pascal";35;;;CCP3. Superviser les services déployés;;;;;;;;
1-juil.-24;Conduite de Projet;2-juil.-24;Conduite de Projet;3-juil.-24;Demarche Externe;4-juil.-24;"Examen Blanc
Pascal";5-juil.-24;"Examen Blanc
Pascal";28;;;CCP3A;Définir et mettre en place des statistiques de services;;;;;;;
8-juil.-24;stage;9-juil.-24;stage;10-juil.-24;stage;11-juil.-24;stage;12-juil.-24;stage;0;;;CCP3B;Exploiter une solution de supervision;;;;;;;
15-juil.-24;stage;16-juil.-24;stage;17-juil.-24;stage;18-juil.-24;stage;19-juil.-24;stage;0;;;CCP3C;"Echanger sur des réseaux professionnels éventuellement en
anglais";;;;;;;
22-juil.-24;stage;23-juil.-24;stage;24-juil.-24;stage;25-juil.-24;stage;26-juil.-24;stage;0;;;CT. Compétences Transversalles;;;;;;;;
29-juil.-24;stage;30-juil.-24;stage;31-juil.-24;stage;1-août-24;stage;2-août-24;stage;0;;;CTA;Mettre en oeuvre une démarche de résolution de problème;;;;;;;
5-août-24;stage;6-août-24;stage;7-août-24;stage;8-août-24;stage;9-août-24;stage;0;;;CTB;Apprendre en continu;;;;;;;
12-août-24;stage;13-août-24;stage;14-août-24;stage;15-août-24;stage;16-août-24;stage;0;;;;;;;;;;;
19-août-24;stage;20-août-24;stage;21-août-24;stage;22-août-24;stage;23-août-24;stage;0;;;;;;;;;;;
26-août-24;stage;27-août-24;stage;28-août-24;stage;29-août-24;stage;30-août-24;stage;0;;;;;;;;;;;
2-sept.-24;"DOSSIER PRO
Gildas
";3-sept.-24;"DOSSIER PRO
";4-sept.-24;Demarche Externe;5-sept.-24;"DOSSIER PRO
";6-sept.-24;"DOSSIER PRO
Gildas
";28;;;;;;;;;;;
9-sept.-24;"KUBERNETES
CCP1D--2B-2C-2D
PASCAL";10-sept.-24;"QUESTIONNAIRE SATISFACTION A CHAUD + KUBERNETES
CCP1D--2B-2C-2D
PASCAL";11-sept.-24;Demarche Externe;12-sept.-24;"Projet
";13-sept.-24;"TERRAFORM
CCP1D-2D-3A-3B
EDUCENTRE";28;;;;;;;;;;;
16-sept.-24;"TERRAFORM
CCP1D-2D-3A-3B
EDUCENTRE";17-sept.-24;"TERRAFORM
CCP1D-2D-3A-3B
EDUCENTRE";18-sept.-24;Demarche Externe;19-sept.-24;"EXAMEN BLANC
";20-sept.-24;"EXAMEN BLANC
";28;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Total Formation;637;;;;;;;;;;;
